id;name;auto_start;off_loading;maximum_redeliveries;redelivery_delay;type;load_balancing;instances;log_level;distributed;deployment_id
1;invoice Tasty Frozen Cheese;true;false;64749;19568;orange;true;47307;TRACE;true;Somalia Plastic
2;Car;true;true;97721;46588;Gloves;false;9265;DEBUG;false;compelling Martinique Camp
3;open-source Tanzania;true;false;10524;93690;Incredible Cotton Ball;true;45075;TRACE;false;back-end
4;withdrawal RAM;false;false;89648;32754;invoice Rapid TCP;false;81952;ERROR;true;port
5;object-oriented Response;false;false;16503;21435;infrastructures Mount;false;82493;ERROR;false;monitoring Rubber sky blue
6;generate Coves Gorgeous;false;false;85263;245;Manager;true;35779;TRACE;true;mobile object-oriented
7;Producer;true;false;55946;20767;USB;true;33460;DEBUG;true;connecting Maryland
8;content-based invoice invoice;true;false;20776;70997;Automotive;true;65562;OFF;true;morph Manager Future
9;invoice;true;false;68899;74980;Ergonomic Montana Pennsylvania;false;67882;DEBUG;false;Shoes Fresh
10;bandwidth e-markets;false;false;28778;80883;West Virginia;false;53210;TRACE;true;payment Grocery Practical
